title_kk,title_ru,text_kk,text_ru,score,len_kk,len_ru
“Полиция бірден ден қоюы тиіс“. Бектенов ІІМ-ге маңызды тапсырма берді,“Полиция должна мгновенно реагировать“. Бектенов сделал важные поручения МВД,"Премьер-министр Олжас Бектенов Құқық бұзушылықтың алдын алу жөніндегі ведомствоаралық комиссияның отырысын өткізді. Қоғамдық қауіпсіздікті қамтамасыз етудің негізгі мәселелері қаралды, - деп хабарлайды Tengrinews.kz тілшісі үкіметтің баспасөз қызметіне сілтеме жасап. Олжас Бектенов 2024-2028 жылдарға арналған қоғамдық қауіпсіздікті қамтамасыз ету тұжырымдамасының маңызын атап өтті. ""Президент заң мен тәртіп мемлекет пен қоғамның ең басты қағидатына айналуы керектігін айқындап берді. Бұл – Мемлекет басшысы саясатының басты негіздерінің бірі. Президенттің бұл тапсырмасын бұлжытпай іске асыру – барлық мемлекеттік органның, ең алдымен, құқық қорғау құрылымдарының міндеті. Полиция кез-келген, тіпті кішігірім құқық бұзушылықтарға бірден ден қоюы тиіс. Бұл – құқықтық тәртіпті қамтамасыз етудің бірден-бір жолы Барлық мүдделі мемлекеттік органдар оны сапалы орындау жөнінде жан-жақты шаралар қабылдауы қажет. Біздің мақсатымыз – құқық бұзушылықтың алдын алудың тұтас жүйесін құру. Тұжырымдаманы іске асыру барысында үкіметтік емес ұйымдар мен қоғамдық бірлестіктерді белсенді тарту қажет. Азаматтардың қауіпсіздік деңгейі біздің бірлескен жұмысымыздың тиімділігіне байланысты"", - деді премьер-министр. Әзірленген Ұрлыққа қарсы іс-қимыл бағдарламасы олардың санын 29 пайызға төмендетуге және қылмыстың ашылуын 54,4 пайызға дейін жақсартуға мүмкіндік берді. Отбасылық-тұрмыстық зорлық-зомбылыққа қарсы күрес бойынша бейінді бөлімшелер құрылған. Енді отбасылық жанжалдарға шақырылған кезде жәбірленушілер туралы сауалнама толтырылады, 1 мың қасақана зәбір көрсетуші анықталып, оларға психокоррекциялық жұмыс жүргізіліп жатқаны айтылды. Өз кезегінде, есепке алынғандарға қатысты электронды бақылау құралдарын қолдану қылмыстың қайталану қаупін 13 пайызға дейін төмендетуге мүмкіндік берді. eGov жүйесіндегі СТОП-несие функциясы іске қосылды, ол қарыздарды онлайн ресімдеуден бас тартуға мүмкіндік береді. Аталған функцияны бүгінде 1,4 миллионнан астам азамат пайдаланып үлгерген. Сондай-ақ, Жамбыл және Атырау облыстарының әкімдері тыңдалды, олар ""Бейнебақылау жүйелерімен жаппай қамту"" жобалары, уақытша бейімдеу орталықтарын ашу және басқа да жобалар аясындағы жұмысты күшейту қажеттігін айтты. ""Біздің мақсатымыз – қылмыстың алдын алудың біртұтас жүйесін құру. Тұжырымдаманы іске асыру барысында үкіметтік емес ұйымдар мен қоғамдық бірлестіктерді белсенді тарту қажет. Азаматтардың қауіпсіздік деңгейі біздің бірлескен жұмысымыздың тиімділігіне байланысты. ІІМ-нің есептерінен елімізде күн сайын ауыр қылмыстар, оның ішінде кісі өлтіру оқиғаларының орын алып отырғанын көріп жүрмін. Адам өліміне әкелетін жазатайым оқиғалардың көпшілігі мас күйінде болады. Биыл бұзақылық пен бандитизмге байланысты ел ішін шулатқан бірқатар оқиға орын алды. Жергілікті полиция қызметкерлері қауіп-қатерді анықтап, тұрғындар арасында алдын ала профилактикалық жұмыстар жүргізуі тиіс"", - деді премьер-министр. Мәдениет және ақпарат министрлігіне мұндай жағдайларға дер кезінде ден қоюды, БАҚ пен әлеуметтік желілерде азаматтарды объективті түрде хабардар етуді тапсырды. Отырыс қорытындысы бойынша премьер-министр Қоғамдық қауіпсіздікті қамтамасыз ету тұжырымдамасын сапалы жүзеге асыру бойынша бірқатар тапсырма берді. ҚАЗІР ТАЛҚЫЛАНЫП ЖАТЫР Министр Қазақстандағы курьерлер мен такси жүргізушілері үшін алаңдатарлық болжам айтты 27 сәуір 18:41 1 Қазақстанның Халық жазушысы Мұхтар Шаханов өмірден өтті 19 сәуір 22:47 1 Қазақстанның Ибраһим келісімдеріне ресми түрде қосылу рәсімі Астанада өтуі мүмкін 27 сәуір 20:44 1 Құқық бұзушылықтың алдын алу аспектілерінің барлығын қамтуды кеңейту, азаматтардың қауіпсіз орта қалыптастыру үшін шешімдер қабылдау процесіне қатысу мүмкіндігін қарастыру, олардың іске асырылуын бақылау; Жасөспірімдер арасындағы қылмыстың алдын алу үшін кәмелетке толмағандарды оқуға, жұмысқа, қоғамдық өмірге қатысуға ынталандыру тетіктерін қалыптастыру; Оқу-ағарту министрлігіне мүдделі мемлекеттік органдармен бірлесіп, қосымша шаралар әзірлей отырып, жасөспірімдер арасындағы құқық бұзушылықтың алдын алу саласында іске асырылып жатқан іс-шаралардың тиімділігіне талдау жүргізу; Ішкі істер министрлігіне есірткінің жаңа түрлері пайда болуын ескере отырып, тиісті бөлімшелердің жұмысын сыни тұрғыдан бағалап, есірткінің заңсыз айналымына қарсы күресті күшейту шараларын қабылдау; Ішкі істер министрлігіне цифрлық технологиялардың кеңінен енуі алаяқтық санының өсуімен қатар жүретінін ескеріп, азаматтарды алаяқтардан қорғау бойынша түбегейлі шаралар қабылдау тапсырылды. Сілтемесіз жаңалық оқисыз ба? Онда Telegram желісінде парақшамызға тіркеліңіз! ІІМ Олжас Бектенов Google News арқылы жаңалықтарымызды қадағалаңыз Жазылу","Премьер-министр Олжас Бектенов провел заседание Межведомственной комиссии по профилактике правонарушений, передает Tengrinews.kz со ссылкой на правительство. Глава правительства отметил важность работы по обеспечению общественного правопорядка. ""Президент страны определил ""Закон и порядок"" в качестве фундаментального принципа функционирования государства и общества. Это один из основных постулатов его политики как Главы государства. Обязанность всех госорганов и, в первую очередь, правоохранительных структур, обеспечить безусловную реализацию этой установки Президента. Полиция должна мгновенно реагировать на любые, даже самые незначительные, правонарушения. Только так можно обеспечить правопорядок"", - отметил Олжас Бектенов. На заседании обсудили реализацию Концепции безопасности. Отмечается, что количество краж снизилось на 29 процентов, раскрываемость выросла до 54,4 процента. Созданы подразделения по борьбе с семейным насилием, 1000 агрессоров проходят коррекцию. Электронные браслеты сократили рецидивы на 13 процентов. Подростковая преступность снизилась на 55 процентов. В школах действуют антибуллинговые программы и центры психологической поддержки. Введена функция СТОП-кредит на eGov, ей воспользовались 1,4 миллиона человек. Усиливаются меры против телефонного мошенничества. Акимы Жамбылской и Атырауской областей сообщили о необходимости расширения видеонаблюдения и открытия адаптационных центров. ""Наша цель - создание целостной системы профилактики правонарушений. В ходе реализации Концепции необходимо активнее вовлекать неправительственные организации и общественные объединения. От эффективности нашей совместной работы зависит уровень безопасности граждан. В ежедневных сводках МВД я вижу, что в стране совершаются тяжкие преступления, в том числе убийства. Большинство происшествий, связанных с гибелью людей, происходит в состоянии опьянения. В текущем году в стране произошел ряд резонансных событий, связанных с хулиганством и бандитизмом. На местах полицейские должны выявлять риски и проводить превентивную профилактическую работу среди населения"", - подчеркнул премьер-министр. Министерству культуры и информации поручено обеспечить своевременное реагирование на подобные случаи и объективно информировать граждан в СМИ и социальных сетях. ОБСУЖДАЕТСЯ СЕЙЧАС Операция “Эпическая ярость“ против Ирана завершена - Марко Рубио Вчера 01:28 24 Запрет на прогрев авто дольше 5 минут - МВД озвучило решение Вчера 10:36 25 Кто получил генеральские звания в Казахстане Вчера 15:21 41 По итогам заседания премьер-министр дал ряд поручений по качественному исполнению концепции обеспечения общественной безопасности: Для расширения охвата всех аспектов профилактики правонарушений рассмотреть возможность участия граждан в процессе принятия решений по формированию безопасной среды и контроля за их реализацией; Для профилактики подростковой преступности сформировать механизмы стимулирования несовершеннолетних к учебе, работе, участию в общественной жизни; Министерству просвещения совместно с заинтересованными государственными органами поручено провести анализ эффективности реализуемых мероприятий в сфере профилактики подростковой преступности с выработкой дополнительных мер; Министерству внутренних дел - с учетом появления новых видов наркотических средств критически оценить работу профильных подразделений и принять меры по усилению борьбы с наркобизнесом; Министерству внутренних дел - ввиду того, что широкое проникновение цифровых технологий сопровождается ростом количества мошенничества, принять кардинальные меры по защите граждан от мошенников. Напомним, в конце ноябре Президент Касым-Жомарт Токаев принял министра внутренних дел Ержана Саденова. Глава государства был проинформирован о криминогенной обстановке в стране. По итогам встречи Касым-Жомарт Токаев дал ряд поручений главе МВД по дальнейшему повышению уровня правопорядка и общественной безопасности в стране. Нажмите сюда, чтобы получать самые важные новости в вашем WhatsApp Олжас Бектенов Правительство МВД Преступность Поручение Криминал",0.936,4630,4052
Алматыда колонияның бұрынғы басшысы ұсталды,Экс-начальника колонии задержали в Алматы,"Алматыда сыбайлас жемқорлық ісі бойынша бұрынғы колония басшысы ұсталды, - деп хабарлайды Tengrinews.kz тілшісі. Ақпаратқа сәйкес, құқық қорғау органдарының қызметкерлері әділет полковнигі Әкімбай Бекзат Балтабайұлын сыбайлас жемқорлық ісі бойынша қызметтік кабинетінде ұстаған. ""Ол Алматы бойынша ҚАЖД-ның №13 ең төменгі қауіпсіздік мекемесінің басшысы қызметін атқарады"", – делінген хабарламада. Tengrinews.kz тілшісіне ІІМ ҚАЖК берген мәлімет бойынша, аталған тұлға ұсталған сәтте ішкі істер органдарының қызметкері болмаған. ""Оған қатысты құзырлы органдар сотқа дейінгі тергеу жүргізіп жатыр. Қылмыстық-атқару жүйесі комитеті кез келген құқықбұзушылыққа нөлдік төзімділік саясатын ұстанады және тергеу жүргізіп жатқан органдарға жан-жақты көмек көрсетеді"", – деп мәлімдеді ҚАЖК. Сілтемесіз жаңалық оқисыз ба? Онда Telegram желісінде парақшамызға тіркеліңіз! ҚАЖК Ұстау Сыбайлас жемқорлық","В Алматы по делу о коррупции задержали экс-начальника колонии, передает Tengrinews.kz . Согласно информации , сотрудники правоохранительных органов задержали в служебном кабинете полковника юстиции Акимбая Бекзата Балтабаевича по делу о коррупции. ""Он занимает должность начальника учреждения № 13 минимальной безопасности ДУИС по городу Алматы"", - говорится в сообщении. Как сообщили корреспонденту Tengrinews.kz в КУИС МВД, данное лицо на момент задержания не являлось сотрудником органов внутренних дел. ""В отношении него компетентными органами проводится досудебное расследование. Комитет уголовно-исполнительной системы придерживается политики нулевой терпимости к любым правонарушениям и оказывает всестороннее содействие органам, ведущим расследование"", - проинформировали в КУИС. Ранее мы писали о мнениях экспертов по поводу борьбы с коррупцией в Казахстане. Об этом можно прочитать здесь . Читайте также: Публичный реестр коррупционеров появится в Казахстане Нажмите сюда, чтобы получать самые важные новости в вашем WhatsApp ОБСУЖДАЕТСЯ СЕЙЧАС Запрет на прогрев авто дольше 5 минут - МВД озвучило решение Сегодня 10:36 23 В Казахстане в 7 раз вырос спрос на рубли. Аналитики назвали причины Сегодня 06:25 25 Новый цвет автомобильных номеров появится в Казахстане Сегодня 10:34 26 КУИС МВД РК Алматы руководитель Коррупция Задержание Следите за нашими новостями в Google News Подписаться",0.909,891,1397
Ақмола облысындағы тасжолда жылдамдыққа шектеу енгізілді,Скоростной режим ограничили на трассе в Акмолинской области,"Күн бұзылуына байланысты Ақмола облысындағы тасжолда жылдамдыққа шектеу енгізілді, - деп хабарлайды Tengrinews.kz тілшісі. ҚазАвтоЖол мәліметінше, 3 қарашада сағат 16:00-ден бастап республикалық маңызы бар KAZ02 Астана - Көкшетау (айналма жол) - Петропавл - РФ шекарасы (Жаңа жол өткізу пункті) тасжолының 19-231-шақырымында көліктің барлық түрі үшін жылдамдық шектеуі 110 шақырым/сағ-тан 80 шақырым/сағ-қа дейін төмендетіледі. Жылдамдық режимін 3 қарашада сағат 21:00-де қайта қалпына келтіру жоспарланып отыр. Сілтемесіз жаңалық оқисыз ба? Онда Telegram желісінде парақшамызға тіркеліңіз! Ақмола облысы Тасжол Google News арқылы жаңалықтарымызды қадағалаңыз Жазылу","""КазАвтоЖол"" сообщил о введении ограничения скоростного режима в Акмолинской области с вечера воскресенья из-за непогоды, передаёт Tengrinews.kz . Речь идёт об автомобильной дороге республиканского значения KAZ02 Астана – Кокшетау (с обходом) – Петропавловск – граница РФ (пункт пропуска Жана Жол). Меры затрагивают участок с 180 по 231 километр. Скорость движения снижена с 140 до 110 километров в час для всех видов транспорта. Ограничения действуют с 19:00 2 ноября. Возобновление прежнего скоростного режима планируется в понедельник, 3 ноября, в 09:00 – при стабилизации погодных условий и обеспечении безопасного проезда. 31 октября из-за ухудшения погодных условий на этой же автотрассе в Акмолинской области уже вводилось ограничение скоростного режима до утра 1 ноября. В субботу, после нормализации погоды, ограничения были сняты . Напомним, синоптики предупредили о надвигающейся 3 ноября непогоде. Штормовое предупреждение объявлено в 14 регионах страны, в том числе в Акмолинской области. Здесь ожидается низовая метель. Ветер юго-восточный с переходом на северный, утром и днём порывы 15–20 метров в секунду. ОБСУЖДАЕТСЯ СЕЙЧАС Запрет на прогрев авто дольше 5 минут - МВД озвучило решение Сегодня 10:36 24 Остановил смертника ценой жизни - в Казахстане появится медаль имени Газиза Байтасова Сегодня 13:11 24 Казахстан — не “алкогольная страна“? Культуролог о логике “трезвого государства“ Сегодня 06:03 28 В Кокшетау прогнозируется гололёд, днём – низовая метель. Ветер юго-восточный с переходом на северный, порывы 15–20 метров в секунду. Ранее сообщалось, что в ближайшие несколько дней практически во всех областях Казахстана установится зимняя погода в виде снега с гололёдом и морозов с метелями. Регионы Акмолинская область КазАвтоЖол Трасса Ограничения Следите за нашими новостями в Google News Подписаться",0.918,666,1828
Алматы екі күндік нөсер жаңбырға дайындалып жатыр,Алматы готовится к двухдневному снегопаду,"Алматыда нөсер жаңбыр болжанған. Осыған байланысты коммуналдық қызметтер жоғары дайындық режиміне көшірілді, - деп хабарлайды Tengrinews.kz қала әкімдігіне сілтеме жасап. Синоптиктер болжамы бойынша, 16 сәуірде Алматыда күн бұлтты болады. Сағат 16:00-ден бастап кей жерлерде 17 миллиметрге дейін нөсер жаңбыр жауып, найзағай ойнайды және желдің екпіні секундына 15–18 метрге дейін жетеді деп күтіледі. Күндіз ауа температурасы +17…+19 градус болады. 17 сәуірде сағат 11:00-ден күннің соңына дейін 12 миллиметрге дейін нөсер жаңбыр жауып, найзағай ойнап, желдің күші секундына 18 метрге дейін жетеді деп болжанған. Түнде температура +8…+10 градусқа дейін, күндіз +11…+13 градусқа дейін төмендейді. Коммуналдық инфрақұрылым және тұрғын үй инспекциясы басқармасы мәліметінше, қалада ""Алматы Тазалық"" МКК мен мердігер ұйымдардың қызметкерлері тәулік бойы кезекшілік етіп жатыр. Жедел әрекет ету үшін 104 арнайы техника, 74 мотопомпа және 12 ассенизатор машинасы жұмылдырылған. Оның тоғызы су басу қаупі бар аймақтарға орналастырылған. Құрамында 425 жол жұмысшысы бар 75 жедел бригада құрылып, 2300 қап құм дайындалған. Жол қызметтерінің жалпы тәуліктік шығымы 2710 адам болады. Сонымен қатар Алматы қалалық құтқару қызметі де кезекшілік атқарып жатыр. Олардың иелігінде 15 мотопомпа мен бір ассенизатор машинасы бар. ҚАЗІР ТАЛҚЫЛАНЫП ЖАТЫР Қазақстанның Халық жазушысы Мұхтар Шаханов өмірден өтті 19 сәуір 22:47 1 Медалін шешуді ұмытып кеткен қазақстандық спортшы әуежайда қызық жағдайға тап болды 29 сәуір 08:10 1 Министр Қазақстандағы курьерлер мен такси жүргізушілері үшін алаңдатарлық болжам айтты 27 сәуір 18:41 1 Төтенше жағдайлар департаменті желісі бойынша 53 техника мен 240 қызметкер жұмысқа тартылған. Тағы оқыңыз: Астанаға жылылық оралады, Алматыда нөсер жауын күтіледі — 16-18 сәуірге арналған болжам Ауа райы Болжам Алматы ескерту","В Алматы ожидается двухдневный снегопад, передает корреспондент Tengrinews.kz . Акимат Алматы выпустил специальное предупреждение. Продолжение ■ Сильный снегопад в Алматы: оперативное предупреждение ДЧС 22 января 2025 08:37 ■ В аэропорту Алматы предупредили пассажиров 22 января 2025 15:13 ■ Сильный снегопад в Алматы: куда жаловаться на плохую уборку 22 января 2025 15:24 ■ Сколько снега выпало в Алматы 23 января 2025 10:08 Сообщается, что с ночи 22 января в течение двух суток в Алматы прогнозируется снегопад, временами сильный. Ожидается гололед, а температура воздуха понизится: 22 января ночью от -7 до -9 градусов, днем от 0 до -2 градусов; 23 января ночью от -15 до -17 градусов, днем от -5 до -7 градусов. ""В связи с этим коммунальные службы города переходят на усиленный режим работы. Организовано круглосуточное дежурство на производственных базах. 204 пескоразбрасывателя будут дежурить на местах дислокации до начала снегопада. Основные магистральные улицы будут предварительно обработаны жидкими реагентами. В круглосуточном режиме планируется задействовать 624 единицы спецтехники и 1380 дорожных рабочих"", - сообщили в управлении развития коммунальной инфраструктуры Алматы. Кроме этого, для своевременного предупреждения и устранения снежных накатов на опасных участках дорог, спусках, подъемах, съездах с транспортных развязок будет усилена работа по патрулированию состояния дорожного покрытия силами 47 оперативных бригад. ""В связи с прогнозируемым обледенением, снежными накатами на проезжей части дорог, гололедицей на тротуарах просим автолюбителей и пешеходов соблюдать меры предосторожности. Водителям рекомендуем снизить скорость, увеличить дистанцию между автомобилями и избегать резких маневров"", - предупреждают в акимате. Также осторожность нужно соблюдать и пешеходам на тротуарах: следует избегать многоэтажных зданий из-за риска падения снега и сосулек с крыш. Читайте также: Сильный снег и 20-градусные морозы: погода в Алматы на 3 дня Нажмите сюда, чтобы получать самые важные новости в вашем WhatsApp ОБСУЖДАЕТСЯ СЕЙЧАС Запрет на прогрев авто дольше 5 минут - МВД озвучило решение Сегодня 10:36 23 Операция “Эпическая ярость“ против Ирана завершена - Марко Рубио Сегодня 01:28 24 Новый цвет автомобильных номеров появится в Казахстане Сегодня 10:34 26 Алматы Снегопад Акимат Акимат Алматы Гололед Погода",0.958,1839,2340
Қазақстанда жаңа салық режимі енгізілмек,Новые налоговые режимы могут появиться в Казахстане,"Қазақстанда жаңа жеке салық режимі пайда болуы мүмкін. Бұл платформалық жұмысқа қатысты болады, мысалы, курьерлер мен такси жүргізушілері. Бұл туралы қаржы вице-министрі Ержан Біржанов айтты, - деп хабарлайды Tengrinews.kz тілшісі. ""Яндекс.Такси"" және басқа да такси компанияларының жүргізушілері бар. Жол ақысын мобильді аударым арқылы төлегенде, ақша такси жүргізушісінің әйелінің атына түседі. Енді такси жүргізушілері мен курьерлер салықты қалай төлейді? Компания олар үшін салық төлей ме? Мәселе қалай шешіледі?"" – деп брифингте журналистер вице-министрге жалпыға бірдей декларацияға қатысты сұрақтар қойды. Біржанов қазір такси жүргізушілерінің жеке тұлға ретінде қолма-қол ақша немесе мобильді аударым алатын жағдайлары жиі кездесетінін мойындады. Оның айтуынша, операторлар мұндай такси жүргізушілерінің рейтингін төмендетіп, тіпті оларға берілетін тапсырыстардың санын азайтуы мүмкін. Мұның бәрі олар заңды жұмыс істеуі үшін. Вице-министр қазір такси жүргізушілері үшін арнайы салық режимі бар екенін, оған сәйкес олар жеке кәсіпкер ретінде тіркеліп, мобильді қосымша арқылы 1 пайыз салық төлей алатынын атап өтті. Талапқа сәйкес, олар салық органдарына келіп тіркелуі керек немесе мобильді қосымша арқылы онлайн (жеке кәсіпкер ретінде) тіркеле алады. ""Алайда, жаңа талаптар бойынша операторды салық төлеуші ретінде қарастырамыз. Мұндай ұсыныс бар. Мысалы, егер такси жүргізушісі оператор арқылы жұмыс жасаса, егер оператор салықты ұстап қалса және оны бюджетке аударса, оны салық төлеу міндетінен босатуды қарастырамыз. Бұл болашақ кодексте норма болады деп ойлаймыз. Бұл мәселені бизнеспен талқылап жатырмыз. Қазір ыңғайлы нұсқа бар: мобильді қосымша арқылы тіркеліп (жеке кәсіпкер ретінде), патент алып 1 пайыз салық төлеу. Бұл такси жүргізушілеріне қатысты"", – деп жауап берді Ержан Біржанов. Сілтемесіз жаңалық оқисыз ба? Онда Telegram желісінде парақшамызға тіркеліңіз! Салық Қазақстан","Сегодня во время обсуждения в Сенате проекта нового Налогового кодекса член Комитета по финансам и бюджету Бекболат Орынбеков озвучил инициативу по реформированию системы специальных налоговых режимов (СНР), передает корреспондент Tengrinews.kz . Продолжение ■ Налоговые ставки в регионах Казахстана предложили уравнять 22 апреля 12:22 Согласно предложению, вместо действующих семи режимов останется только три. Первый из них будет предназначен для самозанятых граждан. Такой режим предполагает уплату налога по ставке 4 процента при годовом доходе до 15 миллионов тенге. При этом регистрация в качестве индивидуального предпринимателя не требуется. Второй режим - на основе упрощенной декларации. Он будет рассчитан на предпринимателей с годовым доходом до 600 тысяч МРП (2,36 миллиарда тенге в 2025 году). Предлагается сохранить базовую ставку в 4 процента, однако маслихаты на местах смогут корректировать ее в пределах от 2 до 6 процентов. Также в этом режиме не будет ограничений по численности работников. Третий режим будет применяться для крестьянских и фермерских хозяйств. В целом он сохранит нормы, действующие в текущем законодательстве. Однако в рамках обновленного подхода единый земельный налог заменят индивидуальным подоходным налогом. Как отметил Бекболат Орынбеков, инициатива направлена на упрощение налоговой системы, сокращение административной нагрузки на бизнес и стимулирование роста самозанятости в стране. Предложенные изменения стали частью масштабной налоговой реформы, обсуждаемой в рамках нового Налогового кодекса. Напомним: ранее заместитель премьер-министра - министр национальной экономики Серик Жумангарин рассказал о запланированных в рамках проекта Налогового кодекса изменениях для бизнеса . ОБСУЖДАЕТСЯ СЕЙЧАС Операция “Эпическая ярость“ против Ирана завершена - Марко Рубио Сегодня 01:28 24 Мажилис не стал спорить с Сенатом из-за закона о бродячих животных Сегодня 12:05 23 В Казахстане в 7 раз вырос спрос на рубли. Аналитики назвали причины Сегодня 06:25 25 Сегодня сенаторы предложили также снизить пороги по НДС . Сенат Кодекс Налог Налоги Бизнес изменение",0.898,1900,2102
Тоқаев Азия даму банкінің президентін қабылдады,Токаев принял президента Азиатского банка развития Масато Канду,"Мемлекет басшысы Азия даму банкінің президенті Масацугу Асакаваны қабылдады, - деп хабарлайды Tengrinews.kz тілшісі Ақордаға сілтеме жасап. Қасым-Жомарт Тоқаев Орталық Азия өңірлік экономикалық ынтымақтастығы бағдарламасының 23-ші министрлік конференциясына қатысу үшін Астанаға келген Азия даму банкінің президенті Масацугу Асакавамен кездесті. Мемлекет басшысы мәртебелі мейманды Қазақстан мен Азия даму банкінің нәтижелі қарым-қатынасының 30 жылдығымен құттықтады. Қасым-Жомарт Тоқаев еліміз қаржы институтымен өзара ықпалдастықтың стратегиялық сипатын, сондай-ақ банктің ірі инфрақұрылымдық жобаларды жүзеге асыруға және ұлттық қаржы жүйесін нығайтуға қосқан үлесін жоғары бағалайтынын айтты. Азия даму банкі 1994-2024 жылдар аралығында Қазақстанда жалпы сомасы 7 миллиард долларға жуық жобаларды қаржыландырды. Атап айтқанда, банк Батыс Қытай – Батыс Еуропа халықаралық көлік дәлізін салуға, сондай-ақ Ақтөбе – Қандыағаш жолын қайта жөндеуге қатысты. Қазақстан Президенті жаңа басым бағыттар бойынша бірлескен шараларды одан әрі жалғастырудың маңызды екенін атап өтті. Мемлекет басшысы Қазақстанда экономиканы ырықтандыру, инвестициялық ахуалды жақсарту және еліміздің экономикалық әлеуетін арттыру үшін қажетті жағдай жасау жұмыстары жалғасып жатқанын жеткізді. Қасым-Жомарт Тоқаев экономиканы декарбонизациялау өзара іс-қимылдың перспективті салаларының бірі екеніне тоқталды. Сілтемесіз жаңалық оқисыз ба? Онда Telegram желісінде парақшамызға тіркеліңіз! ҚАЗІР ТАЛҚЫЛАНЫП ЖАТЫР Медалін шешуді ұмытып кеткен қазақстандық спортшы әуежайда қызық жағдайға тап болды 29 сәуір 08:10 1 Қазақстанның Ибраһим келісімдеріне ресми түрде қосылу рәсімі Астанада өтуі мүмкін 27 сәуір 20:44 1 Министр Қазақстандағы курьерлер мен такси жүргізушілері үшін алаңдатарлық болжам айтты 27 сәуір 18:41 1 Қасым-Жомарт Тоқаев ақорда","Приветствуя Масато Канду, Касым-Жомарт Токаев поздравил его с первой годовщиной пребывания в должности руководителя Азиатского банка развития, а также с предстоящим 60-летием банка, передаёт Tengrinews.kz со ссылкой на Акорду. Президент Казахстана подчеркнул, что за более чем 30 лет плодотворного сотрудничества Азиатский банк развития поддержал в нашей стране свыше 170 проектов на сумму более 7 миллиардов долларов. Тем самым банк внёс значительный вклад в экономический рост, модернизацию инфраструктуры и повышение качества жизни граждан. Глава государства рассказал о планах по реализации в предстоящие годы крупных проектов в ключевых секторах экономики, направленных на обеспечение устойчивого роста и структурной модернизации страны. Фото пресс-службы Акорды В свою очередь Масато Канда сообщил, что Азиатский банк развития рассматривает расширение сотрудничества с Казахстаном в качестве приоритетного направления своей деятельности. Банк намерен участвовать в финансировании проектов в сферах жилищного строительства, управления чрезвычайными ситуациями и других стратегически значимых направлениях. Президент банка также отметил лидирующие позиции Казахстана в области цифровых технологий и внедрения искусственного интеллекта, а также большие перспективы по разработке критически важных минералов, подчеркнув высокий потенциал страны для реализации масштабных инвестиционных инициатив. Фото пресс-службы Акорды В завершение Касым-Жомарт Токаев подчеркнул устойчивый и долгосрочный характер партнерства между Казахстаном и Азиатским банком развития, а также подтвердил готовность к дальнейшему расширению взаимовыгодной кооперации. Фото пресс-службы Акорды Ранее Акорда сообщила о телефонном разговоре Президента Казахстана с королём Бахрейна. В ходе обсуждения текущей ситуации на Ближнем Востоке с шейхом Хамадом бен Исой Аль Халифой Касым-Жомарт Токаев заявил о поддержке и солидарности с братским народом Бахрейна в этот непростой период. Касым-Жомарт Токаев Президент Казахстана Президент Банк Азиатский банк развития Следите за нашими новостями в Google News Подписаться",0.852,1816,2088
